MM-DD-YYYY,HH:MM:SS.000,Temp,WT17_Count,ADH16_Count,WT16_Count,WT15_Count,ADH18_Count,ADH17_Count,ADH19_Count,WT17_Start,ADH16_Start,WT16_Start,WT15_Start,ADH18_Start,ADH17_Start,ADH19_Start,WT17_Stop,ADH16_Stop,WT16_Stop,WT15_Stop,ADH18_Stop,ADH17_Stop,ADH19_Stop
1/28/25,44:19.7,24,4,84,13,2,0,10,39,76044,85999,78716,79890,0,78750,83614,76508,86035,78816,79971,0,78893,84157
1/28/25,44:19.4,24,4,85,13,2,0,10,39,76044,86304,78716,79890,0,78750,83614,76508,86346,78816,79971,0,78893,84157
1/28/25,44:20.5,24,4,86,13,2,0,10,39,76044,86422,78716,79890,0,78750,83614,76508,86452,78816,79971,0,78893,84157
1/28/25,44:20.6,24,4,87,13,2,0,10,39,76044,86534,78716,79890,0,78750,83614,76508,86558,78816,79971,0,78893,84157
1/28/25,44:20.9,24,4,87,13,2,0,10,40,76044,86534,78716,79890,0,78750,86841,76508,86558,78816,79971,0,78893,86859
1/28/25,44:20.2,24,4,87,13,3,0,10,40,76044,86534,78716,87095,0,78750,86841,76508,86558,78816,87125,0,78893,86859
1/28/25,44:23.8,24,4,87,13,3,0,10,41,76044,86534,78716,87095,0,78750,89532,76508,86558,78816,87125,0,78893,89743
1/28/25,44:25.9,24,4,87,13,3,1,10,41,76044,86534,78716,87095,91839,78750,89532,76508,86558,78816,87125,91851,78893,89743
1/28/25,44:27.2,24,4,87,14,3,1,10,41,76044,86534,94142,87095,91839,78750,89532,76508,86558,94191,87125,91851,78893,89743
1/28/25,44:28.3,24,4,88,14,3,1,10,41,76044,95212,94142,87095,91839,78750,89532,76508,95249,94191,87125,91851,78893,89743
1/28/25,44:28.5,24,4,89,14,3,1,10,41,76044,95383,94142,87095,95411,78750,89532,76508,95419,94191,87125,91851,78893,89743
1/28/25,44:29.5,24,4,89,14,3,2,10,41,76044,95383,94142,87095,95411,78750,89532,76508,95419,94191,87125,95469,78893,89743
1/28/25,44:29.6,24,4,90,14,3,2,10,41,76044,95559,94142,87095,95411,78750,89532,76508,95595,94191,87125,95469,78893,89743
1/28/25,44:29.7,24,4,91,14,3,2,10,41,76044,95657,94142,87095,95411,78750,89532,76508,95693,94191,87125,95469,78893,89743
1/28/25,44:29.8,24,4,92,14,3,2,10,41,76044,95751,94142,87095,95411,78750,89532,76508,95775,94191,87125,95469,78893,89743
1/28/25,44:29.9,24,4,93,14,3,2,10,41,76044,95839,94142,87095,95411,78750,89532,76508,95875,94191,87125,95469,78893,89743
1/28/25,44:29.0,24,4,94,14,3,2,10,41,76044,95931,94142,87095,95411,78750,89532,76508,95967,94191,87125,95469,78893,89743
1/28/25,44:29.1,24,4,95,14,3,2,10,41,76044,96049,94142,87095,95411,78750,89532,76508,96073,94191,87125,95469,78893,89743
1/28/25,44:29.2,24,4,96,14,3,2,10,41,76044,96149,94142,87095,95411,78750,89532,76508,96186,94191,87125,95469,78893,89743
1/28/25,44:29.3,24,4,97,14,3,2,10,41,76044,96259,94142,87095,95411,78750,89532,76508,96289,94191,87125,95469,78893,89743
1/28/25,44:29.4,24,4,98,14,3,2,10,41,76044,96365,94142,87095,95411,78750,89532,76508,96395,94191,87125,95469,78893,89743
1/28/25,44:30.5,24,4,99,14,3,2,10,41,76044,96459,94142,87095,95411,78750,89532,76508,96501,94191,87125,95469,78893,89743
1/28/25,44:30.6,24,4,100,14,3,2,10,41,76044,96557,94142,87095,95411,78750,89532,76508,96599,94191,87125,95469,78893,89743
1/28/25,44:30.7,24,4,101,14,3,2,10,41,76044,96663,94142,87095,95411,78750,89532,76508,96700,94191,87125,95469,78893,89743
1/28/25,44:30.8,24,4,102,14,3,2,10,41,76044,96764,94142,87095,95411,78750,89532,76508,96800,94191,87125,95469,78893,89743
1/28/25,44:30.9,24,4,103,14,3,2,10,41,76044,96886,94142,87095,95411,78750,89532,76508,96916,94191,87125,95469,78893,89743
1/28/25,44:30.4,24,4,104,14,3,2,10,41,76044,96974,94142,87095,95411,78750,89532,76508,97010,94191,87125,95469,78893,89743
1/28/25,44:30.1,24,4,105,14,3,2,10,41,76044,97074,94142,87095,95411,78750,89532,76508,97098,94191,87125,95469,78893,89743
1/28/25,44:30.2,24.25,4,106,14,3,2,10,41,76044,97184,94142,87095,95411,78750,89532,76508,97208,94191,87125,95469,78893,89743
1/28/25,44:31.6,24.25,4,107,14,3,2,10,41,76044,97483,94142,87095,95411,78750,89532,76508,97525,94191,87125,95469,78893,89743
